,leave,stay
0,48.87919,73.78245
1,85.85132,88.341125
2,102.50777,107.90454
3,148.68806,149.68121
4,49.633568,73.63978
5,86.22204,87.24262
6,101.50223,106.84154
7,142.92155,144.44586
8,51.02327,73.89553
9,88.16993,87.16191
10,101.7133,106.9702
11,140.34312,142.23447
12,54.97582,74.48417
13,81.90573,80.71945
14,95.53573,99.58792
15,128.34421,133.02782
16,46.195713,71.34035
17,86.47193,85.54472
18,102.45948,107.2268
19,154.7747,154.1435
20,48.078556,73.804016
21,77.7361,79.86018
22,93.93926,99.133
23,131.95844,134.0485
24,55.148304,74.89904
25,81.21494,79.83156
26,96.015205,100.83818
27,137.51932,138.17068
28,54.68152,73.92588
29,79.75625,78.73103
30,95.31058,99.67279
31,130.73224,134.04028
32,89.87666,89.14567
33,77.88326,75.913635
34,89.03432,91.369644
35,116.13519,121.02764
36,91.468704,89.24672
37,78.504196,76.54113
38,89.40402,91.63495
39,115.66989,120.90074
40,88.44499,82.31127
41,68.358,69.024315
42,88.68407,92.80316
43,121.23529,125.45949
44,89.47412,82.03967
45,72.85751,73.41713
46,95.8754,99.91507
47,135.29332,135.93207
48,89.68431,82.225525
49,73.212,73.5804
50,95.47371,99.329895
51,132.26442,133.54425
52,89.1622,81.26624
53,70.185745,70.50772
54,95.37407,98.5709
55,136.38145,136.36745
56,90.515175,82.463715
57,63.67223,64.513885
58,92.2784,94.701996
59,131.7974,132.39986
60,89.9238,81.95436
61,59.70183,60.86152
62,90.03983,92.09722
63,132.12007,132.26033
64,60.323235,96.06909
65,59.896126,61.45945
66,83.47792,88.92851
67,113.45187,118.63249
68,69.784454,98.11704
69,61.469814,62.418762
70,80.99909,86.27219
71,111.25003,116.78143
72,74.57681,97.87439
73,62.849518,64.04772
74,81.071976,86.43821
75,110.7637,116.65086
76,76.09678,97.6646
77,58.902924,59.819237
78,72.76163,77.65367
79,94.10257,107.77301
80,82.24539,97.82335
81,60.82894,61.47342
82,76.780685,81.7074
83,98.247574,111.0341
84,87.09172,100.714516
85,59.184082,59.16256
86,71.76047,76.02054
87,95.9297,107.766754
88,103.781944,108.68698
89,54.781853,53.439423
90,63.222225,65.4259
91,80.75637,86.9508
92,108.97235,107.3517
93,54.363483,52.953506
