,leave,stay
38295,112.55554,119.61453
38296,166.96248,168.10881
38297,226.73747,222.2329
38298,92.606346,87.028076
38299,44.307842,46.477005
38300,56.21916,75.38498
38301,111.03053,118.196075
38302,164.98602,166.11118
38303,224.76103,220.23526
38304,59.414597,102.8255
38305,39.75816,40.8378
38306,38.329674,53.481255
38307,71.972115,93.550064
38308,127.975235,139.60052
38309,185.175,191.69992
38310,82.890335,107.75463
38311,61.360374,60.55938
38312,26.28481,36.97699
38313,20.88961,66.59573
38314,64.774796,108.44053
38315,131.87468,160.29263
38316,90.41578,109.4882
38317,54.340427,53.53292
38318,26.274355,36.31048
38319,27.948517,55.731537
38320,32.95571,94.763664
38321,109.286575,142.08888
38322,94.97683,109.42174
38323,55.86325,54.997467
38324,24.209814,35.593063
38325,26.59673,52.349686
38326,22.450758,89.124374
38327,90.798935,133.22859
38328,58.369545,109.38019
38329,35.261925,35.593155
38330,17.842548,43.358116
38331,15.718494,74.49898
38332,69.34651,114.853935
38333,120.4446,157.85435
38334,54.486435,76.79097
38335,90.88772,90.21478
38336,104.20414,109.180336
38337,146.7697,148.19113
38338,201.48497,197.83186
38339,256.12527,247.20462
38340,78.398506,88.729965
38341,80.72247,84.34596
38342,92.44202,96.27095
38343,126.491486,131.7768
38344,183.40881,182.87656
38345,236.32658,230.86775
38346,73.98142,85.88973
38347,81.81789,85.42684
38348,94.58629,98.48294
38349,129.42224,134.5994
38350,186.97331,185.78949
38351,238.56902,232.81473
38352,58.728397,65.38458
38353,90.17078,89.81065
38354,117.04328,118.47841
38355,171.7516,168.21068
38356,226.71225,217.70433
38357,284.04346,269.0822
38358,60.664253,65.20119
38359,90.094055,90.31227
38360,115.69571,117.61971
38361,170.17014,167.27304
38362,226.05775,217.45248
38363,284.14932,269.22272
38364,60.4711,67.17609
38365,88.02711,87.64793
38366,111.092285,115.13625
38367,164.8119,162.55357
38368,219.76115,212.09192
38369,278.14957,264.13098
38370,67.49597,80.62824
38371,86.50062,86.2643
38372,100.91483,106.46742
38373,145.6617,146.97878
38374,198.28719,194.91864
38375,255.9659,246.44162
38376,69.67372,87.8048
38377,74.37929,81.65982
38378,91.01801,95.54703
38379,125.54709,130.5604
38380,177.04088,176.71185
38381,230.36125,225.10434
38382,88.009094,98.76268
38383,77.51269,78.86424
38384,87.9843,91.77017
38385,118.838066,124.37224
38386,166.89372,169.47371
38387,223.9949,221.14676
38388,92.03415,101.52196
38389,80.83066,79.29537
38390,88.2601,91.77291
38391,113.35015,119.45989
38392,155.68817,159.98909
38393,215.01308,213.5918
38394,107.100006,111.7677
38395,73.92865,72.480515
38396,79.48369,82.322655
38397,100.58887,106.87318
38398,135.78554,141.66248
38399,187.0114,192.19058
38400,67.74981,98.16725
38401,67.89757,70.33853
38402,91.01577,97.00492
38403,122.44389,128.64925
38404,178.2742,179.13116
38405,236.66267,231.17026
38406,77.81941,103.59819
38407,60.55268,62.25985
38408,78.19892,84.05044
38409,108.374115,114.85013
38410,150.66017,156.75296
38411,211.11684,210.50243
38412,79.915634,104.565445
38413,63.62432,65.05701
38414,83.60809,89.27959
38415,116.21138,121.97105
38416,170.89838,172.21808
38417,228.99048,224.06613
38418,87.827415,107.76302
38419,61.035194,62.027763
38420,75.76368,81.27253
38421,108.73671,115.33579
38422,162.23466,166.37947
38423,220.43463,218.31424
38424,93.37976,108.866325
38425,60.71517,61.16855
38426,73.33513,78.20223
38427,102.990425,110.048706
38428,139.6994,147.81131
38429,200.4051,201.82108
38430,91.62341,99.850494
38431,63.424194,65.379524
38432,75.65328,81.49803
38433,101.98814,109.60555
38434,140.56996,148.88574
38435,202.05353,204.92453
38436,70.93915,75.835556
38437,71.07397,75.4643
38438,99.18686,104.04176
38439,150.66353,151.2651
38440,209.4904,203.89711
38441,269.5618,258.21225
