,leave,stay
0,51.418873,75.35123
1,88.24599,89.219925
2,102.80925,108.07103
3,147.37419,148.64258
4,201.66331,197.94064
5,51.88042,75.12074
6,87.753784,87.99282
7,101.73697,106.94395
8,142.00722,143.74454
9,196.29286,192.87584
10,62.292435,79.90245
11,78.90996,84.17826
12,93.895515,97.720856
13,127.17882,132.41882
14,176.90797,176.012
15,62.14647,79.10108
16,79.68673,82.92288
17,94.28124,97.94183
18,124.729965,130.28049
19,168.65984,168.95308
20,63.46843,78.96041
21,78.80175,81.33716
22,94.77617,98.29233
23,123.66658,129.27248
24,158.13576,162.7089
25,66.822,81.02743
26,78.01901,81.13757
27,94.84067,98.268555
28,120.65613,126.50229
29,151.26021,156.39453
30,45.24964,74.821075
31,81.634964,85.45244
32,98.54374,104.0267
33,142.74986,144.13947
34,196.22897,192.75327
35,51.430107,76.83644
36,87.315384,86.12567
37,100.9754,105.73047
38,148.81662,148.62039
39,201.3429,196.50092
40,60.59722,81.177414
41,79.19408,80.589005
42,92.652145,96.79462
43,127.68254,130.46396
44,182.7327,180.00009
45,85.53902,91.08469
46,79.990616,77.89249
47,89.25919,92.30116
48,118.913216,124.02173
49,171.02878,171.03958
50,86.35051,91.2775
51,80.7404,78.57256
52,89.77212,92.271515
53,115.517044,120.91753
54,158.01714,159.56439
55,99.629,96.641594
56,81.058174,78.55292
57,88.35106,90.13614
58,110.478836,115.86744
59,145.09514,149.75519
60,98.31631,91.679596
61,64.004425,65.00236
62,83.05887,87.411835
63,113.9758,118.8524
64,168.78334,168.81738
65,99.38288,92.26602
66,62.920433,63.197464
67,78.99127,82.71897
68,105.29037,115.10064
69,156.20422,158.88501
70,72.37395,106.062416
71,56.96849,57.94742
72,75.43437,80.95163
73,105.11095,111.24916
74,149.56302,153.83517
75,77.293304,106.69942
76,55.52191,56.203293
77,69.53701,74.86088
78,98.330826,104.85011
79,131.50316,137.61203
80,60.479412,105.59248
81,49.894447,51.026733
82,71.33536,76.69709
83,101.35683,107.25415
84,155.33983,158.16817
85,65.32654,106.41745
86,46.873238,47.39155
87,67.01665,72.42265
88,97.98967,104.19008
89,150.56177,153.63693
90,77.34427,108.28873
91,47.0373,47.19123
92,62.860474,67.89792
93,85.10858,99.77028
94,133.88797,140.11566
95,56.155617,103.913376
96,44.83725,44.335014
