,leave,stay
0,46.94191,72.44276
1,84.532135,87.71098
2,102.8766,108.32442
3,43.476986,59.607994
4,97.985596,96.70145
5,130.8275,130.92456
6,47.16736,64.27026
7,89.50383,88.70408
8,117.87744,119.61214
9,50.526005,65.20596
10,89.2108,88.403
11,119.00719,119.76878
12,56.70152,60.86846
13,90.78342,90.666534
14,128.61612,126.89612
15,50.17736,76.73015
16,65.973434,80.72751
17,94.55459,99.75748
18,49.68302,76.291145
19,66.30109,79.795105
20,94.09804,99.1565
21,51.425014,78.55835
22,74.87841,80.141945
23,96.166336,101.04355
24,48.02427,57.298653
25,77.09393,80.0967
26,119.48949,120.6188
27,40.921032,49.476677
28,81.31431,83.00267
29,120.73183,121.07942
30,38.498325,46.263153
31,88.74884,88.7883
32,125.61856,123.805626
33,48.759315,90.87865
34,51.555218,53.209694
35,75.015884,79.82164
36,68.23305,93.18744
37,53.543163,54.61502
38,80.50159,85.293335
39,75.61395,95.09084
40,52.58978,53.17633
41,76.54565,81.16725
42,79.50224,96.83122
43,48.20124,48.303978
44,66.80725,70.99724
45,79.059944,98.5167
46,46.062374,45.81395
47,60.527107,64.03034
48,72.81485,96.90384
49,45.32332,44.441917
50,55.96872,58.724663
51,76.65114,96.93506
52,45.393013,44.426643
53,55.79615,58.405266
54,33.948917,83.93526
55,50.551456,52.133484
56,76.64856,81.209435
57,38.327927,86.67803
58,49.447075,50.393555
59,73.182655,77.657
60,42.546448,87.22298
61,49.96491,50.680458
62,70.93776,75.32204
63,52.18924,89.08303
64,50.504013,50.567093
65,69.06312,74.03835
66,55.619926,88.948364
67,47.160324,46.97763
68,61.429356,69.78112
69,68.615585,91.434975
70,48.54493,47.725227
71,61.081844,72.091
72,101.923744,99.59451
73,34.82421,34.864822
74,42.332073,50.129234
75,106.903015,100.05352
76,34.477787,35.626694
77,42.956844,49.716003
78,106.543335,99.51225
79,34.54957,35.955772
80,42.669853,48.825592
81,80.96336,78.40999
82,40.13216,39.95082
83,51.57139,64.32541
84,81.51999,78.432365
85,38.40648,38.362724
86,49.159184,62.789177
87,81.683334,75.90065
88,34.0398,36.552757
89,45.534904,64.12651
90,80.81519,74.49714
91,28.866642,36.082367
92,41.405552,62.597984
93,82.370346,75.52438
94,23.256088,34.079414
95,31.19932,59.385063
96,83.35222,76.23633
97,18.357756,31.432417
98,19.407114,54.91742
99,84.39686,77.10846
100,24.706923,31.29313
101,12.227579,50.60193
102,87.62244,79.97537
103,22.16071,31.19008
104,7.567813,47.351326
105,88.824165,80.95516
106,35.29525,36.3537
107,1.0085514,42.922325
108,47.74913,90.366165
109,31.92096,34.221573
110,45.18303,62.645676
111,52.118393,90.86003
112,33.081596,35.021034
113,46.65448,63.44967
114,55.73352,91.40097
115,30.848495,34.590813
116,42.176914,62.39102
117,69.83339,95.26579
118,31.343548,35.960274
119,35.595776,61.211357
120,66.40498,92.65592
121,34.490578,33.860878
122,36.563923,53.015663
123,73.84735,92.708466
124,34.736347,33.85389
125,35.515102,49.859406
126,-2.3401053,36.777435
127,59.75593,62.363968
128,83.29445,89.58493
129,46.94191,72.44276
130,84.532135,87.71098
131,102.8766,108.32442
132,47.41191,71.876114
133,85.12753,86.583824
134,102.31142,107.8176
135,57.603798,74.24349
136,87.19535,86.26967
137,102.3647,107.661865
138,70.625694,77.48099
139,79.09848,78.14811
140,95.6516,99.454056
141,97.5006,91.346085
142,76.54377,74.259964
143,88.80414,90.55641
144,88.00552,80.892914
145,73.023445,73.15323
146,95.50383,99.366776
147,89.28417,82.3443
148,70.42373,70.30283
149,90.03752,93.38318
150,90.15064,83.11102
151,69.888115,69.516884
152,88.6103,91.68712
153,61.675953,91.32364
154,67.3203,68.72699
155,91.307,96.7842
156,63.46978,93.51701
157,67.3851,68.53432
158,86.710846,92.065186
159,65.12922,92.987236
160,67.158195,68.11983
161,82.10202,86.96424
162,62.56452,95.65132
163,63.488632,64.0901
164,78.013016,82.69795
165,67.677414,95.22275
166,62.261013,62.673187
167,73.98602,78.04526
168,70.925964,95.808014
169,62.34497,62.456932
170,73.8351,77.82034
171,86.85379,97.4366
172,65.87706,65.116646
173,79.85807,83.23407
174,25.165195,59.997925
175,81.725266,82.70173
176,105.45915,109.212166
177,35.457634,59.416176
178,83.73947,84.13629
179,104.858635,108.895294
180,42.441555,58.915268
181,83.15413,83.167694
182,105.034744,108.816605
183,48.06907,58.211723
184,82.14938,82.0695
185,103.94897,107.67487
186,51.22978,66.2437
187,72.86249,71.65221
188,94.22491,98.05037
189,51.55066,64.33622
190,72.975784,71.66968
191,93.99381,97.75719
192,59.50744,70.49547
193,72.127686,70.64124
194,91.52066,95.167435
195,24.427635,35.4346
196,89.0336,88.08841
197,122.22884,120.51724
198,21.10679,52.02472
199,76.11699,75.376076
200,104.67796,106.695114
201,29.11749,52.2592
202,75.05591,74.19591
203,103.53488,105.44772
204,43.08895,77.24688
205,63.804825,63.71122
206,76.19348,80.49864
207,81.97539,93.17862
208,49.82312,48.5755
209,60.070976,62.712692
210,83.93637,92.738045
211,49.80191,48.416435
212,59.91796,62.395332
213,9.176622,22.289114
214,89.35127,87.993454
215,121.03632,118.636
216,38.99815,83.186485
217,46.6808,46.697746
218,58.539925,71.24951
219,40.810986,82.260704
220,47.524117,47.48739
221,57.73313,69.94693
222,48.00392,80.42153
223,46.000553,46.230827
224,54.79817,68.42232
225,105.68431,101.79865
226,29.245169,33.12925
227,34.360695,46.331306
228,58.50276,99.219666
229,19.834805,29.167698
230,28.924929,52.99092
231,46.94191,72.44276
232,84.532135,87.71098
