x,y,x_velocity,y_velocity,angle,angular_velocity,left_contact,right_contact
0.16391811,0.103498444,-0.30106658,-0.22904295,-0.031131778,-0.0232701,0.0,0.0
-0.3207919,0.7252914,0.15364698,-0.06353263,-0.31665337,0.26778167,0.0,0.0
0.12819013,0.40659642,0.1148894,-0.47824132,0.08531847,0.11170791,0.0,0.0
-0.07343807,0.04282659,0.010314986,-0.024628581,0.06458682,-0.023746949,0.0,0.0
0.07755022,-0.0008345866,2.268795e-06,2.5250892e-09,0.0008364211,-7.291341e-07,1.0,1.0
-0.22508316,1.3580045,-0.6699375,-0.49865988,-0.11811605,-0.10577466,0.0,0.0
0.036146067,0.20047767,0.21176319,-0.37612513,0.03474806,0.037116464,0.0,0.0
-0.08987121,1.3992375,-0.25644785,-0.4302447,-0.63713837,-0.1075923,0.0,0.0
0.17275572,0.2561195,-0.4327155,-0.30281258,0.13153972,-0.18433496,0.0,0.0
0.24711752,0.5790491,0.1570774,-0.5327175,0.3218111,0.039996926,0.0,0.0
0.14692812,0.035592064,-0.054539077,-0.3218753,-0.0071758055,-0.0323273,0.0,0.0
0.015401363,0.1568953,0.048169177,-0.2997746,-0.021803888,0.040788095,0.0,0.0
0.0022213936,1.3704231,0.016075706,-0.29673487,0.059158303,0.087953106,0.0,0.0
0.012254238,1.1107235,0.06273137,-0.6085432,-0.11866485,-0.09424783,0.0,0.0
-0.037546348,-0.0011646413,3.4830166e-06,3.14511e-09,-0.0024621163,-1.0304585e-06,1.0,1.0
0.039968204,-0.0011529112,9.607293e-06,1.1604457e-08,0.0017738423,-2.7556985e-06,1.0,1.0
0.07570505,0.10318059,-0.4013477,-0.23440656,-0.06731424,0.018425552,0.0,0.0
0.112101175,-0.0080839535,-0.21790144,-0.23306079,0.020898188,-0.04945097,1.0,1.0
0.02556982,0.5328497,0.045478687,-0.49487215,-0.002816801,-0.036942817,0.0,0.0
0.20165348,0.39959472,0.040693827,-0.69231486,0.3127737,-0.076798126,0.0,0.0
0.14233541,-0.00992445,0.00015708918,-3.014728e-05,-0.06475884,-7.676099e-05,0.0,1.0
0.0016098976,1.4157999,0.16304374,0.21687886,-0.0018586152,-0.036931835,0.0,0.0
0.2508749,0.16144067,-0.2408561,-0.1918899,-0.0026686941,-0.14679894,0.0,0.0
0.042738058,-0.0012651705,-5.0590734e-07,-6.673443e-10,-0.00049741194,2.1963831e-07,1.0,1.0
0.099394225,-0.000758698,-4.021733e-06,-7.86484e-09,0.00058432925,1.2045723e-06,0.0,1.0
-0.3022054,0.55707115,0.10172763,-0.24751025,-0.28510588,0.25714377,0.0,0.0
-0.1942255,0.2976836,0.17454992,-0.19876862,0.049006324,-0.023762474,0.0,0.0
0.08725624,-0.00081244943,2.5762422e-06,-3.4546222e-08,-0.0027427776,-7.514248e-07,1.0,1.0
0.076896094,0.009789536,-0.028374141,-0.00853612,0.02552547,-0.025695499,0.0,0.0
0.06723289,0.00037945271,0.08487868,-0.24945644,0.029237777,0.00477367,0.0,1.0
0.06886997,-0.00047735215,-0.001998616,6.6635056e-07,0.002333469,-3.0673806e-07,0.0,0.0
0.16696176,0.56242853,-0.0013734883,-0.5393161,0.1319114,-0.12617064,0.0,0.0
-0.08808355,0.2080883,0.17582408,-0.43144527,0.034419388,-0.040621694,0.0,0.0
0.1821392,-0.018751778,0.13215862,-0.017405748,-0.15747328,-0.05517168,1.0,1.0
-0.09196615,1.1816262,-0.19367959,-0.5511951,-0.19740893,-0.018457096,0.0,0.0
-0.12812328,0.23937722,0.41485256,-0.4295787,0.026528286,0.044403307,0.0,0.0
0.08273144,0.045399223,-0.048879113,-0.11815887,0.03231463,0.035204772,0.0,0.0
-0.11689472,0.06535765,-0.0136368945,-0.2445093,-0.34083834,0.23501961,0.0,0.0
-0.1905797,0.48468277,0.12984754,-0.47342455,-0.072078355,0.06614626,0.0,0.0
-0.26941308,0.81259173,-0.44317397,-0.4143798,-0.10762995,-0.054615907,0.0,0.0
0.03285122,-0.00060670613,-7.2340117e-06,-7.292972e-09,0.001228928,2.0776374e-06,1.0,1.0
-0.40200663,0.72113913,0.19574766,-0.14909269,-0.2716021,0.19493468,0.0,0.0
0.024264526,0.7440737,0.047574323,-0.55047095,-0.03787254,0.0082097985,0.0,0.0
0.27039748,0.6434229,0.1789563,-0.63930804,0.09827136,0.014642823,0.0,0.0
0.18955497,-0.02009435,0.15336674,-0.017962636,-0.14333026,-0.056781013,1.0,1.0
0.23053932,0.14095317,-0.114966646,-0.021369483,0.016252004,-0.030900344,0.0,0.0
-0.09922457,0.6230337,0.009965132,-0.4967915,-0.0768248,0.045341723,0.0,0.0
0.10223389,-4.8542024e-06,-0.000120503755,-8.423182e-08,-0.0049551367,3.610331e-05,0.0,1.0
-0.19794711,0.5837238,-0.026384324,-0.35880154,-0.17169517,0.0428183,0.0,0.0
0.30372876,0.5466582,-0.059584856,-0.5363426,0.20439473,-0.0253166,0.0,0.0
0.10164156,-0.0014593625,0.0881978,0.03747401,-0.017318726,0.12680358,1.0,1.0
-0.12137012,1.2410852,-0.7271598,-0.6716832,0.006423572,-0.11944389,0.0,0.0
-0.008978653,1.0936702,0.029774949,-0.6319315,-0.08945418,-0.09652515,0.0,0.0
-0.12397041,-3.3965112e-05,0.0038460463,4.102429e-05,0.0018740472,-0.0011948931,0.0,0.0
0.08724394,0.10224124,-0.27891457,-0.15644611,-0.064140104,-0.0198286,0.0,0.0
0.13244514,1.0574262,0.10266377,-0.78168255,0.065262035,0.1651087,0.0,0.0
0.04057951,-0.02081994,-0.12521702,0.066415876,0.15183179,-0.0076767267,1.0,1.0
0.24410734,0.10089448,-0.0716183,0.02180039,0.06511537,-0.031502407,0.0,0.0
0.14369392,-0.008216777,0.08677143,-0.009641956,-0.05663719,-0.032302786,1.0,1.0
0.12092552,-0.004381361,0.022460606,0.01597581,-0.0065378044,-0.057176042,0.0,1.0
-0.034085084,0.00037508964,0.00017584462,-9.797398e-08,-0.012467604,-5.3951197e-05,1.0,1.0
0.13432416,-0.013813867,-0.25972253,-0.037527878,0.2889144,-0.20751122,1.0,1.0
0.2001113,0.46107095,-0.063764855,-0.48807856,0.13294877,-0.05350254,0.0,0.0
0.070510104,-0.0012630248,2.7802406e-08,8.5441926e-10,-0.0014812066,-6.2716914e-08,0.0,1.0
0.027663613,1.3673835,0.14512303,-0.42478713,0.060723636,-0.15396948,0.0,0.0
0.015781593,1.383925,0.5214673,-0.42628512,-0.012395894,-0.04672429,0.0,0.0
0.03773403,0.46922028,0.101029694,-0.5714405,0.009211072,0.061091863,0.0,0.0
0.098986246,0.042241152,-0.058805835,-0.06023865,-0.009725591,0.00047904433,0.0,0.0
0.28854513,0.4657508,0.10620248,-0.4245881,0.14340317,-0.07224797,0.0,0.0
-0.068935394,1.4815515,-0.3526799,-0.028895061,-0.17290483,-0.37179276,0.0,0.0
0.16588268,0.22229105,-0.35565892,-0.4316977,0.2220837,-0.2492274,0.0,0.0
-0.11930332,-0.005733552,-0.18163948,-0.012976683,-0.008546937,0.08974988,0.0,1.0
-0.1922594,0.39233288,0.28162405,-0.45135772,-0.04556674,0.06091892,0.0,0.0
0.030928325,0.5457798,0.11215763,-0.5670578,-0.011700559,0.07252333,0.0,0.0
0.14223328,1.227473,0.5187749,-0.6491178,0.093150035,0.087071314,0.0,0.0
0.028909778,0.5736844,0.033343554,-0.5094668,-0.032940496,0.021160873,0.0,0.0
0.06819687,-0.0011800909,-1.5993052e-07,9.554634e-11,-0.0020131988,7.552778e-08,1.0,1.0
0.14228038,0.28227496,-0.0603405,-0.30798882,0.021701314,-0.04675518,0.0,0.0
-0.08681879,1.2165118,-0.4378503,-0.6948321,-0.035579916,-0.10609913,0.0,0.0
-0.21784286,0.048898395,0.18374205,-0.25123614,-0.27990848,-0.35519668,0.0,0.0
0.20922928,0.13085319,-0.16123672,-0.03365777,-0.011766296,-0.04266155,0.0,0.0
0.2390501,-0.034025814,0.021176336,-0.0026850372,-0.24199788,-0.008060213,0.0,1.0
0.006043434,0.02408038,-0.08126338,-0.10224416,-0.005246356,0.023530396,0.0,0.0
0.11027078,-0.0008836174,5.8124108e-08,-5.0300215e-11,-0.0017831527,-8.087984e-08,0.0,1.0
-0.10062418,0.4361212,0.41518122,-0.5279669,-0.4395183,0.08905488,0.0,0.0
-0.54965013,0.5363329,-0.18809237,-0.08544031,-0.45698538,-0.35957882,0.0,0.0
0.1632907,0.00092515704,-0.15660372,-0.0020501337,0.2886603,-0.15916154,1.0,1.0
-0.044232942,1.1985306,-0.19250421,-0.6608044,-0.081233725,-0.06429133,0.0,0.0
-0.18075275,0.09747227,0.0855191,-0.14470752,0.020567702,0.004664452,0.0,0.0
0.13472681,0.8111289,0.21064678,-0.60698134,0.016064135,0.077228196,0.0,0.0
0.15903386,0.45854825,0.013345532,-0.636276,0.12251219,-0.13824572,0.0,0.0
0.13398829,0.07907296,-0.01584747,-0.09045079,0.07378106,0.0073339315,0.0,0.0
0.21316051,0.17997588,0.03729979,-0.23646443,-0.008211073,-0.0013447702,0.0,0.0
-0.010654544,1.4117103,-0.53380716,0.0049748444,0.01059746,0.08758573,0.0,0.0
-0.026699353,-0.0013218188,-2.3833974e-05,-2.3700295e-08,0.0006801435,6.824078e-06,0.0,0.0
-0.22757988,0.84790593,-0.3831925,-0.52075994,-0.22017653,-0.08227875,0.0,0.0
-0.14172287,1.3690301,-0.6525675,-0.35532543,-0.08800757,-0.15546295,0.0,0.0
-0.14074068,1.0862588,-0.62806237,-0.73839635,-0.0870675,-0.21203537,0.0,0.0
0.07892046,1.4432379,0.7983528,0.023433672,-0.08956682,-0.17862812,0.0,0.0
-0.11812391,0.6176877,0.11058636,-0.3594745,-0.037411712,0.033854418,0.0,0.0
-0.20344324,0.04650272,0.25701886,-0.2922557,0.025655579,0.022908136,0.0,0.0
0.020385455,-0.00063281297,0.003406611,-3.0022298e-07,-0.0009899018,-0.0010006045,1.0,0.0
0.18219241,-0.010778108,0.01851052,0.017446684,-0.075700715,0.057236336,1.0,1.0
0.1612155,-0.017358175,0.026284676,0.009578567,-0.123623624,0.031715963,1.0,1.0
-0.16843815,-0.017718233,0.16499245,0.0014867947,-0.15086672,-0.061220866,1.0,1.0
0.25660983,1.3267988,0.6563076,-0.59767854,0.16349101,0.069700934,0.0,0.0
0.17305756,0.1697568,-0.1770048,-0.23025343,0.025042946,-0.017205326,0.0,0.0
-0.021393966,0.8937667,-0.019991977,-0.5775526,-0.07611403,-0.015805658,0.0,0.0
0.5005719,-0.07269704,-0.16407667,0.20539646,0.12567742,0.09910414,0.0,0.0
-0.1504468,-0.009402063,-0.023343444,0.018296402,0.0034899912,0.06394417,1.0,1.0
0.12202282,0.23079938,0.060886405,-0.43232048,0.047785368,-0.052797228,0.0,0.0
0.10750904,1.0330639,0.41806594,-0.7717806,0.07410663,0.19008103,0.0,0.0
0.2761217,0.8065478,0.35652825,-0.69794774,0.2825478,0.124060154,0.0,0.0
0.068855,-0.0014749909,-0.060995527,0.0138541525,0.002476447,-0.04863154,0.0,0.0
-0.13488427,0.9121119,-0.28544885,-0.65349495,-0.13825227,-0.07786483,0.0,0.0
0.119011305,0.0763954,-0.08131309,-0.11801426,0.040432625,0.004443817,0.0,0.0
-0.012480831,1.3778085,-0.2392164,-0.34749708,-0.00016420652,-0.042467207,0.0,0.0
0.13220052,-0.0041404627,-0.19345367,-0.016042283,0.15616654,-0.17486235,1.0,1.0
0.16959696,0.15826078,-0.16781552,-0.25399575,0.02382075,-0.0072388155,0.0,0.0
0.22057085,0.06427225,-0.11125137,-0.24920246,0.019645702,-0.06555988,0.0,0.0
-0.00057058333,0.32462898,-0.02254473,-0.4215266,0.002814943,-0.020941436,0.0,0.0
0.20635939,-0.011752107,2.7980082e-07,-2.8919848e-08,-0.08154579,-1.277707e-07,1.0,1.0
-0.06382561,0.059373315,0.0906992,-0.26845133,0.007907921,-0.00039326661,0.0,0.0
-0.12408457,-3.1175612e-05,0.0038273644,3.4643053e-05,0.0017498705,-0.0011901958,0.0,0.0
-0.40521803,0.36250877,0.11793728,-0.05981625,-0.1274125,0.29002064,0.0,0.0
