Stick,Hit
0.43950999687303255,-0.8229251248529212
-0.6454419523263124,-0.5276154217122203
-0.5158204381270673,-0.15271399028595997
-0.2083218995865552,-0.3977225595381772
0.2932473515793531,0.15400975973321904
0.0,0.0
-0.1487132661787453,-0.4163050583536522
-0.1295345773594218,-0.648893318194846
0.21363340786385254,0.013260101296646504
0.0,0.0
-0.5397665188380003,-0.3359147588044731
0.0,0.0
-0.20888303521293267,-0.6650821643056076
0.0,0.0
-0.18722704210853672,-0.3759574994336951
0.0,0.0
-0.1898287234636204,-0.4083560784990532
-0.6235717821519489,-0.18042975090202434
0.8861859960430785,-0.9904699517671679
-0.09450460577767919,-0.5301681624889021
0.0,0.0
0.0,0.0
-0.6539833778898542,-0.5488801402926955
-0.7894182245363558,-0.5611515095764856
0.0,0.0
0.021470386317370103,-0.5537814254093054
0.0,0.0
0.7837770323116937,-0.8249421327597586
0.0,0.0
0.0,0.0
-0.3503151374979189,-0.5688294819461828
-0.08429686493051189,0.2628095480803745
0.3306532647022918,-0.8417087509178369
0.9950763528696208,0.1781542010080704
-0.4970436540020605,-0.2815940123313298
0.4948521645280403,-0.741211143389389
0.0,0.0
0.1863142239857378,-0.8967255049523677
0.9298466915273111,0.00536343326084358
0.0,0.0
-0.25937263066760324,-0.44439613119389215
-0.5359906849727377,-0.08737361237628537
0.4249236719078011,-0.725866762222263
0.9746358269841716,0.2158521260389704
0.0,0.0
-0.5556123244095442,-0.48417826038469886
0.0,0.0
-0.5928753448954016,-0.35341242723103267
-0.8529998672548175,-0.6019031583351445
-0.5277155874515537,-0.35099825689623204
-0.11982838073835679,-0.8222814320722914
-0.2747677092433958,0.017535176762461295
0.0,0.0
-0.12538158875569588,-0.3578698991553458
-0.44282951789492275,-0.217829363242297
-0.34381013156640716,0.08718546767573022
-0.21096025090691573,-0.6083193381874409
-0.46985909465859016,-0.38565150465990844
-0.601647203491653,-0.4144702323489157
-0.04688214211653454,-0.3799800351501499
0.0,0.0
0.03976107165575302,0.057530889627522966
0.0,0.0
-0.03639392478885951,-0.20206081562476227
0.7617515911042404,-0.8476023551643812
-0.3816649212299044,-0.5059888331912932
-0.5377425758610695,-0.4010326325802668
0.1367934097477505,-0.6469364964578539
-0.1646669780259051,0.08118694212297586
0.9104041988823622,-0.9981293324036651
0.9965155958441725,0.2607697233616528
-0.6387776431717923,-0.5854797825090208
-0.7600682747146779,-0.6511275263162887
-0.45541582335393904,-0.30320442578863877
-0.2795562250801149,-0.4386070022662653
-0.6084762382946513,-0.48873590222630897
0.0,0.0
0.0,0.0
-0.15559364032339934,-0.03339161527674963
-0.21088655858519006,0.32161149699819597
0.0,0.0
-0.48543545768455804,-0.39908994635024114
-0.46547932907933265,-0.2629639958386057
-0.14862296870935116,-0.025635680026081523
0.0,0.0
