,1,2,3,4,5,6,7,8,9,10
17,1,1,1,1,1,1,1,1,1,1
18,1,0,0,0,0,0,0,0,1,1
19,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
