,1,2,3,4,5,6,7,8,9,10
11,1,1,1,1,1,1,1,1,1,1
12,1,1,1,0,0,0,1,1,1,1
13,1,0,0,0,0,0,1,1,1,1
14,1,0,0,0,0,0,1,1,1,1
15,1,0,0,0,0,0,1,1,1,1
16,1,0,0,0,0,0,1,1,1,1
17,0,0,0,0,0,0,0,0,0,0
